time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp
00:48.8,official,それでは,Now then...,"Muy bien, muchachos."
00:50.5,official,ホームルームを始めます,...let's get started.,Es hora de comenzar la clase.
00:52.7,official,日直の人は号令を,"Student on duty, on your command.","Estudiante a cargo, adelante."
00:54.9,official,き…起立,S-Stand up!,Sí. De pie.
01:00.1,official,気を付け,Attention!,Atención.
01:05.0,official,礼,Bow!,Ahora.
01:09.7,official,おはようございます,Good morning.,Buenos días a todos.
01:11.6,official,発砲したままで結構ですので　出欠をとります,Fire all you like--I'll just be taking attendance.,Sigan disparando mientras paso lista.
01:15.2,official,磯貝君,Isogai?,¿Yuma Isogai?
01:16.7,official,はい,Here!,Presente.
01:18.0,official,すみませんが　銃声の中なので　大きな声で,"I'm sorry, you'll have to speak up with all this gunfire.","Tienes que hablar más fuerte,  no te oigo con tantos disparos."
01:21.4,official,はい,Here!,Presente.
01:22.3,official,岡島君,Okajima?,¿Taiga Okajima?
01:23.6,official,はい,Here!,Presente.
01:24.3,official,奥田さん,Okuda!,
01:25.5,official,はい,Here!,Presente.
01:26.3,official,片岡さん,Kataoka?,¿Megu Kataoka?
01:27.4,official,はい,Here!,
01:28.0,official,茅野さん,Kayano?,¿Kaede Kayano?
01:28.9,official,はい,Here!,Presente.
01:29.5,official,神崎さん,Kanzaki!,¿Yukiko Kanzaki?
01:30.5,official,はい,Here!,Presente.
01:33.3,official,はい　遅刻なしっと,All right.,Listo.
01:36.0,official,素晴らしい　先生　とてもうれしいです,No tardies. Excellent! That makes me very happy.,Ninguno ha llegado tarde. Excelente. Eso es algo que me da mucho gusto.
01:39.4,official,速過ぎ,He's too fast.,Es muy rápido.
01:40.9,official,クラス一斉射撃で駄目なのかよ,So the whole class shooting at him doesn't work?,¿Con todos disparando y no pudimos darle?
01:43.5,official,僕らは,We,Somos...
01:45.0,official,殺し屋,are killers.,asesinos.
01:46.5,official,僕らのターゲットは,And our target,Y el objetivo es...
01:49.1,official,先生,is our teacher.,nuestro profesor.
01:50.1,official,残念ですねぇ,Too bad.,Muy mal
01:51.6,official,今日も命中弾ゼロです,Not a single bullet,Ni una bala dio en el blanco.
01:54.0,official,数に頼る戦術は　個々の思考を疎かにする,"hit its mark today, either.",Los métodos de números absolutos carecen de un enfoque individual.
01:57.6,official,目線　銃口の向き　指の動き,"Line of sight, barrel position, finger movement--","La línea de visión, la colocación del cañón, la posicion de los dedos."
02:01.4,official,一人一人が単純過ぎます,each of these is far too simple.,Fue fácil predecir sus movimientos.
02:04.0,official,もっと工夫しましょう,You've got to be more inventive!,Sean más creativos.
02:05.9,official,でないと,Otherwise...,"Si no, a mi velocidad máxima de Mach 20"
02:07.4,official,最高速度マッハ20の先生は　殺せませんよ,...you'll never be able to kill me at my max speed of Mach 20.,nunca podrán matarme.
02:12.2,official,いや　ていうかさ,"But, like, see...","No, eso no es posible."
02:14.4,official,本当に全部よけてんのかよ　先生,No way did you seriously dodge all of those!,No hay forma de que esquivara tantos disparos.
02:16.6,official,どう見ても これ　ただのBB弾だろ,"I mean, these are just BB's.","Solo son balines. Aunque le diéramos con ellos,"
02:19.8,official,当たってるのに　我慢してるだけじゃないの,You coulda just stood there grittin' your teeth as they hit you.,"podría aguantar el dolor, pero nunca lo matarían."
