time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp,sbert_jap_en,sbert_jap_sp,comet_jap_en,comet_jap_sp
00:48.8,ai,それでは,"Well then,","Bien,",0.891360342502594,0.9077980518341064,0.06644025444984436,-0.1396811157464981
00:50.5,ai,ホームルームを始めます,Let's begin homeroom.,empezaremos la clase.,0.9257076382637024,0.5300703048706055,0.06263376772403717,-0.08626967668533325
00:52.7,ai,日直の人は号令を,"Class monitor, give the command.","El encargado, por favor, dé la orden.",0.22380709648132324,0.6099977493286133,-0.5759016275405884,-0.25820985436439514
00:54.9,ai,き…起立,St… stand.,¡Se… levanten!,0.5819594264030457,0.8845288157463074,-0.9239702820777893,0.14330491423606873
01:00.1,ai,気を付け,Attention.,¡Atención!,0.7549595236778259,0.8109493255615234,0.14047783613204956,0.202046737074852
01:05.0,ai,礼,Bow.,¡Saludad!,0.5262378454208374,0.8777432441711426,-0.38592007756233215,-0.3938423991203308
01:09.7,ai,おはようございます,Good morning.,Buenos días.,0.9813265800476074,0.4819415211677551,0.29765406250953674,0.26929083466529846
01:11.6,ai,発砲したままで結構ですので　出欠をとります,You may keep your weapons raised; I'll take attendance.,Pueden mantener las armas cargadas; tomaré la asistencia.,0.5265846252441406,0.6507265567779541,-0.5488443970680237,-0.5302966237068176
01:15.2,ai,磯貝君,Isogai.,Isogai-kun.,0.7433658838272095,0.5099204182624817,-0.44965940713882446,-0.1792447417974472
01:16.7,ai,はい,Yes.,Sí.,0.9201773405075073,0.9837301969528198,0.5176658034324646,0.5430672764778137
01:18.0,ai,すみませんが　銃声の中なので　大きな声で,"Sorry — it's noisy with gunfire, so speak loudly.","Perdón, pero con los disparos de fondo, habla más fuerte.",0.828147828578949,0.8503116965293884,0.4312813878059387,-0.23115012049674988
01:21.4,ai,はい,Yes.,Sí.,0.9201773405075073,0.9837301969528198,0.5176658034324646,0.5430672764778137
01:22.3,ai,岡島君,Okajima.,Okajima-kun.,0.7239060997962952,0.7222787141799927,-0.13347332179546356,0.020939460024237633
01:23.6,ai,はい,Yes.,Sí.,0.9201773405075073,0.9837301969528198,0.5176658034324646,0.5430672764778137
01:24.3,ai,奥田さん,Okuda.,Okuda-san.,0.5463609099388123,0.5688773393630981,-0.1733655333518982,0.09763354063034058
01:25.5,ai,はい,Yes.,Sí.,0.9201773405075073,0.9837301969528198,0.5176658034324646,0.5430672764778137
01:26.3,ai,片岡さん,Kataoka.,Kataoka-san.,0.7144824266433716,0.640602171421051,-0.3116435706615448,0.0637158453464508
01:27.4,ai,はい,Yes.,Sí.,0.9201773405075073,0.9837301969528198,0.5176658034324646,0.5430672764778137
01:28.0,ai,茅野さん,Chino.,Chino-san.,0.6263060569763184,0.453016459941864,-0.6424277424812317,-0.029227539896965027
01:28.9,ai,はい,Yes.,Sí.,0.9201773405075073,0.9837301969528198,0.5176658034324646,0.5430638790130615
01:29.5,ai,神崎さん,Kanzaki.,Kanzaki-san.,0.7208827137947083,0.6973143815994263,-0.11472108960151672,0.24986521899700165
01:30.5,ai,はい,Yes.,Sí.,0.9201773405075073,0.9837301969528198,0.5176658034324646,0.5430672764778137
01:33.3,ai,はい　遅刻なしっと,Yes — no tardies.,"Bien, sin tardanzas.",0.49690765142440796,0.8499558568000793,-0.09822985529899597,0.13949671387672424
01:36.0,ai,素晴らしい　先生　とてもうれしいです,"Wonderful. Teacher, I'm very pleased.","Excelente. Profesor, estoy muy contento.",0.9278619289398193,0.8909522891044617,0.45607390999794006,0.6104046702384949
01:39.4,ai,速過ぎ,Too fast.,Demasiado rápido.,0.9793047904968262,0.9787968993186951,0.38003116846084595,0.36636602878570557
01:40.9,ai,クラス一斉射撃で駄目なのかよ,Is a class-wide volley that hopeless?,¿No sirve disparar todos a la vez?,0.5706267356872559,0.7234900593757629,-0.3565109670162201,-0.4820626974105835
01:43.5,ai,僕らは,We are,Nosotros somos…,0.9350437521934509,0.926459789276123,-0.7610640525817871,-0.4073083996772766
01:45.0,ai,殺し屋,assassins.,asesinos.,0.848609983921051,0.9608265161514282,-0.36612850427627563,-0.45125553011894226
01:46.5,ai,僕らのターゲットは,Our target is,Nuestro objetivo es…,0.9491439461708069,0.9035636782646179,-0.07229010760784149,-0.051012638956308365
01:49.1,ai,先生,the teacher.,el profesor.,0.41060754656791687,0.598263680934906,-0.48778995871543884,-0.3680942952632904
01:50.1,ai,残念ですねぇ,"That's unfortunate, isn't it.",Qué lástima.,0.7093304395675659,0.8609867095947266,0.24176745116710663,0.3876418471336365
01:51.6,ai,今日も命中弾ゼロです,Zero hits again today.,Hoy tampoco hay impactos.,0.7162578701972961,0.5884972810745239,-0.1921364963054657,-0.3977607488632202
01:54.0,ai,数に頼る戦術は　個々の思考を疎かにする,Tactics that rely on numbers neglect individual thinking.,La táctica de confiar en la cantidad descuida el pensamiento individual.,0.8545708656311035,0.7164433002471924,0.3505116105079651,-0.006544522941112518
01:57.6,ai,目線　銃口の向き　指の動き,"Gaze, muzzle direction, finger movement.","La mirada, la dirección del cañón, el movimiento de los dedos.",0.7618880271911621,0.8219773769378662,-0.07420969009399414,0.3035357594490051
