time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp
0:00:48.77,official,それでは,Now then...,"Muy bien, muchachos."
0:00:50.51,official,ホームルームを始めます,...let's get started.,Es hora de comenzar la clase.
0:00:52.75,official,日直の人は号令を,"Student on duty, on your command.","Estudiante a cargo, adelante."
0:00:54.90,official,き…起立,S-Stand up!,Sí. De pie.
0:01:00.08,official,気を付け,Attention!,Atención.
0:01:04.97,official,礼,Bow!,Ahora.
0:01:09.72,official,おはようございます,Good morning.,Buenos días a todos.
0:01:11.61,official,発砲したままで結構ですので　出欠をとります,"Fire all you like--I'll just be taking attendance.","Sigan disparando mientras paso lista."
0:01:15.23,official,磯貝君,Isogai?,¿Yuma Isogai?
0:01:16.68,official,はい,Here!,Presente.
0:01:18.03,official,すみませんが　銃声の中なので　大きな声で,"I'm sorry, you'll have to speak up with all this gunfire.","Tienes que hablar más fuerte,  no te oigo con tantos disparos."
0:01:21.41,official,はい,Here!,Presente.
0:01:22.34,official,岡島君,Okajima?,"¿Taiga Okajima?"
0:01:23.61,official,はい,Here!,Presente.
0:01:24.27,official,奥田さん,Okuda!,
0:01:25.51,official,はい,Here!,Presente.
0:01:26.32,official,片岡さん,Kataoka?,¿Megu Kataoka?
0:01:27.36,official,はい,Here!,
0:01:27.95,official,茅野さん,Kayano?,¿Kaede Kayano?
0:01:28.89,official,はい,Here!,Presente.
0:01:29.51,official,神崎さん,Kanzaki!,"¿Yukiko Kanzaki?"
0:01:30.45,official,はい,Here!,Presente.
0:01:33.27,official,はい　遅刻なしっと,All right.,Listo.
0:01:36.03,official,素晴らしい　先生　とてもうれしいです,No tardies. Excellent! That makes me very happy.,Ninguno ha llegado tarde. Excelente. Eso es algo que me da mucho gusto.
0:01:39.40,official,速過ぎ,He's too fast.,Es muy rápido.
0:01:40.86,official,クラス一斉射撃で駄目なのかよ,So the whole class shooting at him doesn't work?,¿Con todos disparando y no pudimos darle?
0:01:43.50,official,僕らは,We,Somos...
0:01:45.02,official,殺し屋,are killers.,asesinos.
0:01:46.54,official,僕らのターゲットは,And our target,Y el objetivo es...
0:01:49.07,official,先生,is our teacher.,nuestro profesor.
0:01:50.07,official,残念ですねぇ,Too bad.,Muy mal
0:01:51.60,official,今日も命中弾ゼロです,Not a single bullet,Ni una bala dio en el blanco.
0:01:53.98,official,数に頼る戦術は　個々の思考を疎かにする,"hit its mark today, either.",Los métodos de números absolutos carecen de un enfoque individual.
0:01:57.64,official,目線　銃口の向き　指の動き,"Line of sight, barrel position, finger movement--","La línea de visión, la colocación del cañón, la posicion de los dedos."
0:02:01.38,official,一人一人が単純過ぎます,each of these is far too simple.,Fue fácil predecir sus movimientos.
0:02:04.01,official,もっと工夫しましょう,You've got to be more inventive!,Sean más creativos.
