time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp,sbert_jap_en,sbert_jap_sp,comet_jap_en,comet_jap_sp
00:48.8,official,それでは,Now then...,"Muy bien, muchachos.",0.7421566843986511,0.7755374908447266,-0.06966078281402588,-0.031928714364767075
00:50.5,official,ホームルームを始めます,...let's get started.,Es hora de comenzar la clase.,0.5539675951004028,0.4866988956928253,-0.02330654487013817,0.06865739822387695
00:52.7,official,日直の人は号令を,"Student on duty, on your command.","Estudiante a cargo, adelante.",0.49940168857574463,0.5307581424713135,-0.7604429721832275,-0.864732563495636
00:54.9,official,き…起立,S-Stand up!,Sí. De pie.,0.8060203790664673,0.7792813777923584,-0.2533109486103058,-0.9665896892547607
01:00.1,official,気を付け,Attention!,Atención.,0.6835134029388428,0.901506781578064,0.060198184102773666,0.2087952047586441
01:05.0,official,礼,Bow!,Ahora.,0.5555450320243835,0.7690893411636353,-0.49664369225502014,-0.28557053208351135
01:09.7,official,おはようございます,Good morning.,Buenos días a todos.,0.9813264608383179,0.9058946967124939,0.29765376448631287,0.37699347734451294
01:11.6,official,発砲したままで結構ですので　出欠をとります,Fire all you like--I'll just be taking attendance.,Sigan disparando mientras paso lista.,0.494623601436615,0.714388370513916,-0.5574007630348206,-0.7608820796012878
01:15.2,official,磯貝君,Isogai?,¿Yuma Isogai?,0.4886087477207184,0.41140255331993103,-0.5482216477394104,-0.36132749915122986
01:16.7,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169120192527771,-0.25994983315467834
01:18.0,official,すみませんが　銃声の中なので　大きな声で,"I'm sorry, you'll have to speak up with all this gunfire.","Tienes que hablar más fuerte,  no te oigo con tantos disparos.",0.7740845680236816,0.7177878022193909,-0.09520003199577332,0.050444815307855606
01:21.4,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169120192527771,-0.25994983315467834
01:22.3,official,岡島君,Okajima?,¿Taiga Okajima?,0.620229184627533,0.6365818977355957,-0.3544633686542511,-0.28549206256866455
01:23.6,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169122278690338,-0.2599502503871918
01:24.3,official,奥田さん,Okuda!,,0.5393139123916626,0.5952267050743103,-0.2604912519454956,-0.3950054943561554
01:25.5,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169120192527771,-0.2599501311779022
01:26.3,official,片岡さん,Kataoka?,¿Megu Kataoka?,0.6136754751205444,0.6618625521659851,-0.5127750039100647,-0.4854010045528412
01:27.4,official,はい,Here!,,0.6556112766265869,0.7537775039672852,-0.4169120192527771,0.08500584959983826
01:28.0,official,茅野さん,Kayano?,¿Kaede Kayano?,0.47888997197151184,0.48524749279022217,-0.4913346469402313,-0.38950321078300476
01:28.9,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169120192527771,-0.25994980335235596
01:29.5,official,神崎さん,Kanzaki!,¿Yukiko Kanzaki?,0.7223232388496399,0.6962364912033081,0.040928568691015244,-0.005912508815526962
01:30.5,official,はい,Here!,Presente.,0.6556112766265869,0.6868909597396851,-0.4169120192527771,-0.25995010137557983
01:33.3,official,はい　遅刻なしっと,All right.,Listo.,0.5753032565116882,0.6845827102661133,-0.22407066822052002,-0.5679629445075989
01:36.0,official,素晴らしい　先生　とてもうれしいです,No tardies. Excellent! That makes me very happy.,Ninguno ha llegado tarde. Excelente. Eso es algo que me da mucho gusto.,0.5378115773200989,0.4695039987564087,0.32416513562202454,0.22212111949920654
01:39.4,official,速過ぎ,He's too fast.,Es muy rápido.,0.8070348501205444,0.7455983757972717,-0.3598156273365021,0.05408423766493797
01:40.9,official,クラス一斉射撃で駄目なのかよ,So the whole class shooting at him doesn't work?,¿Con todos disparando y no pudimos darle?,0.6564720869064331,0.6610456705093384,-0.5082933306694031,-1.1023181676864624
01:43.5,official,僕らは,We,Somos...,0.892834484577179,0.938965916633606,-0.008773986250162125,-0.31651097536087036
01:45.0,official,殺し屋,are killers.,asesinos.,0.8248211145401001,0.9608263969421387,-0.48643413186073303,-0.4512547254562378
01:46.5,official,僕らのターゲットは,And our target,Y el objetivo es...,0.9256032109260559,0.7710858583450317,0.10111281275749207,-0.1461188793182373
01:49.1,official,先生,is our teacher.,nuestro profesor.,0.45768260955810547,0.6144220232963562,-0.5345638990402222,-0.2808130383491516
01:50.1,official,残念ですねぇ,Too bad.,Muy mal,0.7737927436828613,0.7345952987670898,0.15708541870117188,0.10374543070793152
01:51.6,official,今日も命中弾ゼロです,Not a single bullet,Ni una bala dio en el blanco.,0.618073582649231,0.571176290512085,-0.31044360995292664,-0.2845042049884796
01:54.0,official,数に頼る戦術は　個々の思考を疎かにする,"hit its mark today, either.",Los métodos de números absolutos carecen de un enfoque individual.,0.023212391883134842,0.5059880018234253,-0.8889937996864319,-0.15775316953659058
01:57.6,official,目線　銃口の向き　指の動き,"Line of sight, barrel position, finger movement--","La línea de visión, la colocación del cañón, la posicion de los dedos.",0.7833612561225891,0.800497829914093,0.2265588939189911,-0.06123502925038338
02:01.4,official,一人一人が単純過ぎます,each of these is far too simple.,Fue fácil predecir sus movimientos.,0.7933824062347412,0.1331314593553543,0.23671114444732666,-0.01401766762137413
02:04.0,official,もっと工夫しましょう,You've got to be more inventive!,Sean más creativos.,0.6199494004249573,0.7701066136360168,0.30304858088493347,0.4627704918384552
02:05.9,official,でないと,Otherwise...,"Si no, a mi velocidad máxima de Mach 20",0.681979775428772,0.292354941368103,-0.6727368235588074,-0.7329540848731995
02:07.4,official,最高速度マッハ20の先生は　殺せませんよ,...you'll never be able to kill me at my max speed of Mach 20.,nunca podrán matarme.,0.5734232664108276,0.5036572813987732,-0.24987438321113586,-0.4487932324409485
02:12.2,official,いや　ていうかさ,"But, like, see...","No, eso no es posible.",0.583289623260498,0.6238653659820557,-0.05267631635069847,-0.19436690211296082
02:14.4,official,本当に全部よけてんのかよ　先生,No way did you seriously dodge all of those!,No hay forma de que esquivara tantos disparos.,0.45370522141456604,0.31437984108924866,-0.5641922354698181,-0.39474835991859436
02:16.6,official,どう見ても これ　ただのBB弾だろ,"I mean, these are just BB's.","Solo son balines. Aunque le diéramos con ellos,",0.6185067296028137,0.15801890194416046,-0.439492791891098,-1.0801762342453003
02:19.8,official,当たってるのに　我慢してるだけじゃないの,You coulda just stood there grittin' your teeth as they hit you.,"podría aguantar el dolor, pero nunca lo matarían.",0.49933338165283203,0.400485634803772,-0.4623957574367523,-0.7195057272911072
02:22.6,official,そうよ　そうだよ,Yeah! That's right!,Sí. Tienes razón. No son balas de verdad.,0.7793502807617188,0.4672960638999939,0.4528091251850128,-0.43537211418151855
02:26.2,official,では　弾を込めて渡しなさい,Gather up the BB's and hand them over.,Pásenme un arma que esté cargada.,0.42941248416900635,0.8763473033905029,-0.43439361453056335,-0.7821164727210999
02:29.4,official,言ったでしょう,I told you: these may be harmless to you...,"Ya se los dije, quizás sean inofensivos para ustedes.",0.4730413556098938,0.5319461822509766,-0.45761409401893616,-0.2641485929489136
02:31.0,official,この弾は君たちにとっては無害ですが,,,0.2800828218460083,0.2800828516483307,-0.5748589634895325,-0.5748589634895325
02:36.6,official,国が開発した対先生用特殊弾です,...but they're special anti-me BB's developed by the government.,Pero son balines especiales desarrollados por el gobierno.,0.45122432708740234,0.3695504665374756,-0.5837485194206238,-0.4534543752670288
02:40.4,official,当たれば　先生の細胞を豆腐のように破壊できる,"If one hits me, it can slice through my cells like they were tofu.","Si uno me golpea, puede cortar mis células como si fueran tofu.",0.5421149134635925,0.573082447052002,-0.34823426604270935,-0.20503485202789307
02:45.0,official,もちろん数秒あれば再生しますが,"Of course, they regenerate a few seconds later.",Aunque se regeneran unos segundos despúes.,0.6787323951721191,0.7031869292259216,0.3288412392139435,0.08429302275180817
02:48.5,official,だが　君たちも目に入ると危ない,"Then again, you could end up shooting your eyes out.",Me preocupa más que pudieran sacarse un ojo.,0.6942997574806213,0.6735068559646606,-0.6184576749801636,-0.8314053416252136
02:52.2,official,先生を殺す以外の目的で室内での発砲はしないように,No shooting in the classroom unless you're trying to kill me.,Por eso no deben disparar en el aula a menos que intenten matarme.,0.7908629775047302,0.7895164489746094,-0.05250643566250801,0.10228098928928375
02:57.5,official,殺せるといいですね　卒業までに,"I do hope you can kill me before graduation, that is.",Y espero que puedan lograrlo antes del día de la graduación.,0.7972345948219299,0.46807876229286194,-0.5798887610435486,-0.09856663644313812
03:02.0,official,さあ　銃と弾を片付けましょう,"Now then, let's put away the guns and BB's and start on our work.",Ahora guardemos las armas y las municiones y comencemos la clase.,0.8209124803543091,0.6542533040046692,0.2896433174610138,-0.032435256987810135
03:04.8,official,授業を始めます,,,0.4495856463909149,0.4495857357978821,-0.2704256474971771,-0.2704256474971771
03:08.1,official,椚ヶ丘中学校３-Eは　暗殺教室,Class 3-E of Kunugigaoka Junior High School: the assassination classroom.,La clase 3-E de la Secundaria Kunugigaoka: el aula de asesinatos.,0.7895275950431824,0.7679963111877441,0.22547760605812073,-0.1410106122493744
03:13.6,official,始業のベルが　今日も鳴る,"Another day, another class bell rings.",Suena la campana y empieza la clase.,0.6885576248168945,0.6704113483428955,-0.45373037457466125,0.13740529119968414
04:56.5,official,はい　ここで問題です,"Now, here's the question:","Bien, responde la pregunta,",0.748860239982605,0.7036063075065613,0.438028484582901,-0.0170438252389431
