time_stamp,group,sub_jap,sub_trad_en,sub_trad_sp,sbert_jap_en,sbert_jap_sp,comet_jap_en,comet_jap_sp
00:48.8,fansub,それでは,"Now, then.","Muy bien, entonces...",0.7738968729972839,0.8782626390457153,-0.078838050365448,0.1886918693780899
00:50.5,fansub,ホームルームを始めます,Let's begin homeroom.,Vamos a empezar.,0.9257075190544128,0.5917078256607056,0.06263279914855957,0.09947331249713898
00:52.7,fansub,日直の人は号令を,"Class monitor, on your command.","Encargado de la clase, a su señal.",0.2207968533039093,0.618968665599823,-0.7441355586051941,-0.8497681021690369
00:54.9,fansub,き…起立,S-Stand!,¡D-De pie!,0.7081558704376221,0.5741325616836548,-0.5448397397994995,-1.0933880805969238
01:00.1,fansub,気を付け,Attention!,¡Atención!,0.6835134029388428,0.8109493255615234,0.060198184102773666,0.2020467072725296
01:05.0,fansub,礼,Bow!,¡Saluden!,0.5555449724197388,0.8780123591423035,-0.49664369225502014,-0.38325849175453186
01:09.7,fansub,おはようございます,Good morning.,Buenos días.,0.9813265800476074,0.4819416105747223,0.29765376448631287,0.2692902982234955
01:11.6,fansub,発砲したままで結構ですので　出欠をとります,"I'll be taking attendance, so please, fire all you like.",Disparen todo lo que quieran... Sólo estaré tomando asistencia.,0.47319296002388,0.5178149342536926,-0.5376898050308228,-0.6675190925598145
01:15.2,fansub,磯貝君,Isogai-kun?,¿Isogai?,0.3851848244667053,0.6566786766052246,-0.47390082478523254,-0.3863074779510498
01:16.7,fansub,はい,Present.,¡Aquí!,0.5556487441062927,0.7900916337966919,-0.3070428967475891,-0.3760998547077179
01:18.0,fansub,すみませんが　銃声の中なので　大きな声で,"My apologies. I'll need you to speak up,  what with all this gunfire.",Disculpa pero vas a tener que hablar más alto con todo este tiroteo.,0.7630771398544312,0.8326612114906311,0.06447507441043854,0.1938365399837494
01:21.4,fansub,はい,Present!,¡Aquí!,0.45310351252555847,0.7900916337966919,-0.48822370171546936,-0.3760998547077179
01:22.3,fansub,岡島君,Okajima-kun?,¿Okajima?,0.6251728534698486,0.5866427421569824,-0.33860477805137634,-0.38596710562705994
01:23.6,fansub,はい,Present!,¡Aquí!,0.45310351252555847,0.7900916337966919,-0.4882238209247589,-0.37609994411468506
01:24.3,fansub,奥田さん,Okuda-san?,¡Okuda!,0.4629349410533905,0.6745045781135559,-0.540440559387207,-0.1932280957698822
01:25.5,fansub,はい,Present!,¡Aquí!,0.45310351252555847,0.7900916337966919,-0.48822370171546936,-0.3760998547077179
01:26.3,fansub,片岡さん,Kataoka-san?,¿Kataoka?,0.5574039816856384,0.6223973035812378,-0.44706347584724426,-0.45502930879592896
01:27.4,fansub,はい,Present!,¡Aquí!,0.45310351252555847,0.7900916337966919,-0.48822376132011414,-0.3760998547077179
01:28.0,fansub,茅野さん,Kayano-san?,¿Kayano?,0.37030285596847534,0.671635091304779,-0.5141821503639221,-0.5777102112770081
01:28.9,fansub,はい,Present!,¡Aquí!,0.45310351252555847,0.7900916337966919,-0.4882236421108246,-0.3760998547077179
01:29.5,fansub,神崎さん,Kanzaki-san?,¡Kanzaki!,0.6534175276756287,0.7648826837539673,-0.21092724800109863,-0.03420387580990791
01:30.5,fansub,はい,Present!,¡Aquí!,0.45310351252555847,0.7900916337966919,-0.48822376132011414,-0.3760998547077179
01:33.3,fansub,はい　遅刻なしっと,All right.,Muy bien.,0.5753032565116882,0.6827134490013123,-0.22407066822052002,-0.40652671456336975
01:36.0,fansub,素晴らしい　先生　とてもうれしいです,"Everyone on time, I see. Excellent! That makes me very happy.","¡No hay tardanzas, Excelente! Eso me hace muy feliz.",0.5194498896598816,0.6081029176712036,0.1673373132944107,0.29775235056877136
01:39.4,fansub,速過ぎ,He's way too fast.,Es muy rápido.,0.7664476633071899,0.7455983757972717,-0.17453636229038239,0.05408446118235588
01:40.9,fansub,クラス一斉射撃で駄目なのかよ,So even the whole class  at once can't bring him down?,¿La clase entera le disparó y no funciono?,0.5760270357131958,0.7390530109405518,-0.6059494614601135,-0.623866856098175
01:43.5,fansub,僕らは,We...,Nosotros,0.9014973640441895,0.918181836605072,-0.39421382546424866,-0.02105473354458809
01:45.0,fansub,殺し屋,are killers.,somos asesinos.,0.8248209953308105,0.7281240224838257,-0.48643431067466736,-0.1235300600528717
01:46.5,fansub,僕らのターゲットは,And our target...,Y nuestro blanco,0.9134405255317688,0.5792776942253113,0.2201448678970337,-0.004837419837713242
01:49.1,fansub,先生,is our teacher.,es nuestro maestro.,0.45768260955810547,0.5073880553245544,-0.5345638394355774,-0.29659584164619446
01:50.1,fansub,残念ですねぇ,Too bad.,Lástima.,0.7737926244735718,0.8849708437919617,0.15708541870117188,0.2641999125480652
01:51.6,fansub,今日も命中弾ゼロです,"Not one of your bullets hit me today, either."," Ni una sola bala le atino a su objetivo hoy, igual que antes.",0.5954907536506653,0.6905241012573242,-0.1975117176771164,-0.34186676144599915
01:54.0,fansub,数に頼る戦術は　個々の思考を疎かにする,Tactics that rely on sheer numbers neglect individual focus.,Métodos que se basan en solo números carecen de cualquier pensamiento individual.,0.7798707485198975,0.5353091359138489,0.4254085123538971,0.03714003786444664
01:57.6,fansub,目線　銃口の向き　指の動き,"Be it line of sight, barrel position,  or finger movement,","Linea de visión, posición del cartucho, movimiento de los dedos...",0.7455331683158875,0.7949157953262329,0.04003668203949928,0.21872182190418243
02:01.4,fansub,一人一人が単純過ぎます,each of you was far too easy to read.,Cada uno de ellos es demasiado simple.,0.47542664408683777,0.9075534343719482,-0.5914986729621887,0.2148803174495697
02:04.0,fansub,もっと工夫しましょう,You need to be more inventive!,¡Tienen que ser mas originales!,0.5846897959709167,0.445339173078537,0.42586636543273926,0.3720810115337372
02:05.9,fansub,でないと,"Otherwise,",De lo contrario...,0.670146644115448,0.6375506520271301,-0.6682875752449036,-0.665942370891571
02:07.4,fansub,最高速度マッハ20の先生は　殺せませんよ,"you'll never be able to kill me.  I can speed up to Mach 20, you know?",No seran capaces de matarme a mi máxima velocidad de Mach 20.,0.5665512084960938,0.5264869928359985,-0.31084558367729187,-0.186839297413826
02:12.2,fansub,いや　ていうかさ,"But, like, see...",Pero sabes...,0.583289623260498,0.6439345479011536,-0.05267631635069847,-0.07048742473125458
02:14.4,fansub,本当に全部よけてんのかよ　先生,There's no way you seriously  dodged all of those!,¡Es imposible que hayas evadido todo eso!,0.4487977921962738,0.486969530582428,-0.5068046450614929,-0.23648026585578918
02:16.6,fansub,どう見ても これ　ただのBB弾だろ,"I mean, these are just BB pellets.","Quiero decir, son solo Balas de salva",0.6412028074264526,0.5473597645759583,-0.1667415201663971,-0.7336750626564026
02:19.8,fansub,当たってるのに　我慢してるだけじゃないの,You coulda just taken them on the chin.,Pudiste estar parado ahí apretando los dientes mientras te golpeaban.,0.4061238169670105,0.6032871007919312,-0.7443280816078186,-0.1367456316947937
02:22.6,fansub,そうよ　そうだよ,Yeah! That's right!,¡Sí! ¡Es verdad!,0.7793502807617188,0.8316813111305237,0.4528091251850128,0.5455004572868347
02:26.2,fansub,では　弾を込めて渡しなさい,Very well. Gather up the BBs and hand them over.,Entonces pérmitanme utilizar una.,0.501598060131073,0.6161385178565979,-0.2438342571258545,-0.9207654595375061
02:29.4,fansub,言ったでしょう,I told you: these may be harmless to you...,Se los dije: estas cosas pueden ser inofensivas para ustedes...,0.4730413556098938,0.5107729434967041,-0.45761409401893616,-0.27998653054237366
02:31.0,fansub,この弾は君たちにとっては無害ですが,,,0.2800828516483307,0.2800828516483307,-0.5748589634895325,-0.5748589634895325
02:36.6,fansub,国が開発した対先生用特殊弾です,but they're special anti-me BB pellets developed by the government.,Pero son especiales contra su maestro y fueron diseñadas por el gobierno.,0.5704805254936218,0.4287835657596588,-0.45901843905448914,-0.6795658469200134
02:40.4,fansub,当たれば　先生の細胞を豆腐のように破壊できる,"If one hits me, it'll slice  right through my cells like tofu.","Si una de ellas me golpea, puede atravesar mis células como si fueran tofu.",0.5051100254058838,0.5225907564163208,-0.25279656052589417,-0.3654992878437042
02:45.0,fansub,もちろん数秒あれば再生しますが,"They'll regenerate a few seconds later, of course.","Por supuesto, se regeneran varios segundos después.",0.7105367183685303,0.7528970241546631,0.18624255061149597,0.32405760884284973
02:48.5,fansub,だが　君たちも目に入ると危ない,I'm more concerned about you putting a classmate's eyes out.,"Pero tengan cuidado, pueden sacarse un ojo con eso.",0.5754545331001282,0.7949078679084778,-0.5391497015953064,-0.5775023102760315
02:52.2,fansub,先生を殺す以外の目的で室内での発砲はしないように,No shooting in the classroom unless you're trying to kill me.,No disparen en el salón a menos que intenten matarme.,0.7908629775047302,0.6637623310089111,-0.05250643566250801,0.08324302732944489
02:57.5,fansub,殺せるといいですね　卒業までに,"And I do hope you can kill me— before graduation, that is.",Espero que puedan matarme antes de la graduación.,0.8396729230880737,0.816411018371582,-0.44005391001701355,-0.13436920940876007
03:02.0,fansub,さあ　銃と弾を片付けましょう,"Now then, let's put away the arms and ammunition and begin class.","Bueno, déjen a un lado las armas y las balas de salva y empezemos la clase.",0.687290370464325,0.7754853963851929,0.16489669680595398,-0.33799251914024353
03:04.8,fansub,授業を始めます,,,0.4495857357978821,0.4495857357978821,-0.2704256474971771,-0.2704256474971771
03:08.1,fansub,椚ヶ丘中学校３-Eは　暗殺教室,"At Class 3-E of Kunugigaoka Junior High School, the assassination classroom","En la clase 3-E de la secundaria Kunugigaoka, la clase de asesinato...",0.808519184589386,0.7485880255699158,0.0034990794956684113,-0.5285893678665161
03:13.6,fansub,始業のベルが　今日も鳴る,the bell signals the start of another school day.,"Otro día, otra campana que marca el inicio de las clases.",0.7144705057144165,0.7418535351753235,0.4126594364643097,0.11828410625457764
04:56.5,fansub,はい　ここで問題です,"Now, here's the question:","Bien, esta es la pregunta:",0.748860239982605,0.7808958292007446,0.438028484582901,0.33086714148521423
04:58.9,fansub,磯貝君,Isogai-kun!,¡Isogai!,0.5565941333770752,0.7935482859611511,-0.42463651299476624,-0.2780410349369049
05:00.3,fansub,はい,"Y-Yes, sir?","¿S-Si, señor?",0.7029933929443359,0.7848859429359436,-0.27628961205482483,-0.1534425914287567
05:01.2,fansub,この4本の触手のうち　仲間外れは,Which of these four tentacles is not like the others?,¿Cúal de estos 4 tentáculos es diferente a los otros?,0.6766167879104614,0.7829599976539612,-0.28590330481529236,-0.30473676323890686
05:04.4,fansub,ええと　青い触手,Um... the blue one?,Um... ¿El azul,0.8048126697540283,0.906715989112854,-0.3098295331001282,-0.42318472266197205
05:06.7,fansub,正解　青の例文の「WHO」だけが関係詞です,Correct!,¡Correcto! ,0.3642033040523529,0.3856472969055176,-0.2515795826911926,-0.407985657453537
05:11.4,fansub,関係代名詞は直前の名詞を修飾し,"The only relative pronoun is ""who,"" in the blue sentence.","El único pronombre relativo es ""quién"", en la oración de azul.",0.40930694341659546,0.29630979895591736,-0.8626602292060852,-1.1069146394729614
05:14.4,fansub,ここでは「who is standing over there」が,"A relative pronoun modifies the noun right before it, so the clause","Un pronombre relativo califica al sustantivo justo antes de él, entonces…",0.45727628469467163,0.5536574721336365,-0.8930265307426453,-0.7608168125152588
05:17.5,fansub,前の「the boy」少年を説明しています,"""who is standing over there"" describes the ""boy"" here.","Quién esta sentado por ahí está describiendo al chico"" de ahí.",0.6983131766319275,0.7568468451499939,-0.3562048673629761,-0.39340856671333313
05:12.2,fansub,ねえ　渚,"Hey, Nagisa.","Oye, Nagisa.",0.6970676183700562,0.7044910192489624,0.21503081917762756,0.21984747052192688
05:16.1,fansub,昼間だけど　出てるね　三日月,The crescent moon's out in broad daylight.,La luna creciente salió aunque aun es de día.,0.3187713623046875,0.3131735026836395,-0.5819008946418762,-0.7405838966369629
05:21.4,fansub,何で僕らがこんな状態になったのか,How did we end up in this mess?,¿Cómo es que terminamos así?,0.7517030835151672,0.6778548955917358,0.32465311884880066,0.14725658297538757
05:25.5,fansub,３年生の始め,"As we began our third year of junior high,  we were greeted by two extraordinary incidents.",Dos cosas pasaron cuando empezamos nuestro tercer año de secundaria...,0.5358964204788208,0.6253225207328796,0.07248145341873169,0.1622469574213028
05:27.4,fansub,僕らは二つの事件に同時に遭った,,El primero fue una explosión repentina que dejó a la Luna en la fase creciente.,0.2197536826133728,0.1927611231803894,-0.4911498725414276,-0.2669201195240021
05:45.8,fansub,一つ目は　その日突然　月が爆発して三日月形になってしまったこと,The first was the sudden explosion that left the moon permanently crescent-shaped.,,0.7528996467590332,0.11349888145923615,0.277990460395813,-0.683485209941864
05:55.2,fansub,番組の途中ですが　ここで臨時ニュースです,We interrupt this program to bring you breaking news.,Interrumpimos este programa para traer las últimas noticias.,0.5305342078208923,0.5795228481292725,0.31510356068611145,0.42200204730033875
05:58.3,fansub,つい先ほど　月が７割方蒸発し　失われたとの情報が入りました,We've just gotten word that about seventy percent of the moon,Acabamos de recibir el informe de que casi el 70% de la luna,0.7408742904663086,0.7638648152351379,-0.5764227509498596,-0.6831392645835876
06:04.5,fansub,繰り返します,has been vaporized into nothing. I repeat...,ha sido destruida. Repito...,0.375929057598114,0.7836709022521973,-0.241514652967453,-0.19391697645187378
06:05.7,fansub,われわれはもう一生三日月しか見られないということでしょうか,Will we have only a crescent moon to look at for the rest of our lives?,¿Tendremos que mirar la luna creciente por el resto de nuestras vidas?,0.4865567684173584,0.49832603335380554,0.06424139440059662,0.032564710825681686
06:10.7,fansub,そして　二つ目の事件が　これ,And the second was his arrival.,Y lo segundo fué esto:,0.5990135669708252,0.9128522872924805,-0.34013131260871887,0.31187716126441956
06:13.9,fansub,初めまして　私が月をやった犯人です,How do you do? I'm the one who tore that chunk out of your moon.,¿Cómo estan? Soy el que destruyó su luna.,0.7370662093162537,0.824400007724762,-0.6679736375808716,-0.7932349443435669
06:20.9,fansub,来年には　地球もやる予定です,I plan to do the same to the Earth next year.,Planeo hacer lo mismo con la Tierra el año que viene.,0.8848271369934082,0.9126462936401367,0.09701669216156006,0.22948160767555237
06:23.5,fansub,君たちの担任になったので　どうぞよろしく,"But until then, I'll be your teacher. Nice to meet you.",Pero ahora seré su maestro. Mucho gusto.,0.6999317407608032,0.7368550300598145,0.01545681431889534,-0.19997042417526245
06:28.1,fansub,まず五六カ所ツッコませろ,There are at least six things wrong with this picture!,¡Hay al menos seis cosas mal con esto!,0.44708451628685,0.5348580479621887,-0.35596224665641785,-0.41778457164764404
06:30.4,fansub,クラス全員　そう思った,The feeling was unanimous.,El sentimiento fue unánime.,0.5160229802131653,0.3985205292701721,0.037535201758146286,0.06074897572398186
06:34.0,fansub,防衛省の烏間という者だ,"I'm Karasuma, from the Ministry of Defense.","Soy Karasuma, del Ministerio de Defensa.",0.6981273889541626,0.6867724657058716,-0.07670208811759949,0.03688326105475426
06:36.5,fansub,まずは　ここからの話は国家機密だと理解いただきたい,"First, please understand that what I'm about to say is classified information.","Primero, quiero que entiendan que lo que les voy decir es información clasificada.",0.6112605929374695,0.5956661701202393,0.5591776967048645,0.5710686445236206
06:43.7,fansub,単刀直入に言う,Allow me to be blunt:,Iré al grano.,0.5466827750205994,0.5969405770301819,-0.23733386397361755,-0.805860161781311
06:45.8,fansub,この怪物を君たちに殺してほしい,I want you to kill this creature.,Quiero que ustedes asesinen a estra criatura.,0.7779525518417358,0.7537965178489685,0.0837196558713913,-0.20638126134872437
06:50.9,fansub,えっと　何っすか,Um...,Disculpe...,0.7004411816596985,0.6211338639259338,0.040140729397535324,-0.3056264817714691
06:53.9,fansub,そいつ　攻めてきた宇宙人か何かっすか,What's the deal? Is he an alien invader or something?,¿Qué es eso? ¿Es un alien o algo así que vino a atacarnos?,0.6667881011962891,0.7836402654647827,-0.10271704196929932,0.06627528369426727
06:56.4,fansub,失礼な,How rude!,¡Qué grosero! ,0.7125158309936523,0.7922167778015137,0.21483829617500305,-0.16038727760314941
06:57.3,fansub,生まれも育ちも地球ですよ,I'll have you know I was born and raised on Earth!,¡Sepan que nací y fui criado aquí en la Tierra!,0.8087303638458252,0.8163922429084778,-0.5203873515129089,-0.0012035109102725983
07:00.2,fansub,地球,He was?,¿En serio?,0.18638980388641357,0.3939669728279114,-0.8892204165458679,-0.2895457446575165
07:01.6,fansub,詳しいことを話せないのは申し訳ないが,"I'm afraid I can't discuss the details, but he's telling the truth.","Temo que no puedo dar más detalles, pero lo que dice es cierto.",0.56855309009552,0.5601249933242798,0.024495597928762436,0.42216047644615173
07:04.4,fansub,こいつが言ったことは真実だ,,,0.2394111305475235,0.2394111305475235,-0.6077044010162354,-0.6077044010162354
07:06.8,fansub,月を壊したこの生物は,"And as he said, he won't stop at the moon. Next year...","Y como dijo, lo de la Luna no fue todo. En marzo del año entrante...",0.41572582721710205,0.580392599105835,-0.535265326499939,-0.4212735593318939
